theme	name	prompt
action	courir	"A person running with dynamic forward motion, legs extended mid-stride, muscles engaged, with a minimal surrounding context that supports the action without defining a full scene."
action	manger	"A person eating calmly, bringing food to their mouth with a natural posture, with a minimal surrounding context that supports the action without defining a full scene."
action	dormir	"A person sleeping peacefully, body relaxed and eyes closed, with a minimal surrounding context that supports the action without defining a full scene."
action	parler	"A person speaking, mouth slightly open and expression engaged, with a minimal surrounding context that supports the action without defining a full scene."
action	ecrire	"A person writing with focused movement of the hand holding a pen, with a minimal surrounding context that supports the action without defining a full scene."
action	lire	"A person reading attentively, eyes fixed on the text, with a minimal surrounding context that supports the action without defining a full scene."
action	sauter	"A person jumping upward with legs bent and body lifted off the ground, with a minimal surrounding context that supports the action without defining a full scene."
action	nager	"A person swimming with coordinated arm and leg movement, body streamlined, with a minimal surrounding context that supports the action without defining a full scene."
action	chanter	"A person singing, mouth open and posture expressive, with a minimal surrounding context that supports the action without defining a full scene."
action	danser	"A person dancing with fluid, rhythmic body movement, with a minimal surrounding context that supports the action without defining a full scene."
action	jouer	"A person playing an activity with engaged, lively posture, with a minimal surrounding context that supports the action without defining a full scene."
action	travailler	"A person working with focused attention on a task, with a minimal surrounding context that supports the action without defining a full scene."
action	etudier	"A person studying, concentrating on learning material, with a minimal surrounding context that supports the action without defining a full scene."
action	marcher	"A person walking at a steady pace, body balanced and moving forward, with a minimal surrounding context that supports the action without defining a full scene."
action	regarder	"A person looking intently at something, eyes directed and focused, with a minimal surrounding context that supports the action without defining a full scene."
action	ecouter	"A person listening attentively, body still and expression focused, with a minimal surrounding context that supports the action without defining a full scene."
action	nettoyer	"A person cleaning with deliberate, repetitive motions, with a minimal surrounding context that supports the action without defining a full scene."
action	cuisiner	"A person cooking with hands actively preparing food, with a minimal surrounding context that supports the action without defining a full scene."
action	conduire	"A person driving, hands positioned for control and body oriented forward, with a minimal surrounding context that supports the action without defining a full scene."
action	construire	"A person building something, hands performing precise constructive movements, with a minimal surrounding context that supports the action without defining a full scene."
action	peindre	"A person painting with smooth brush strokes and focused posture, with a minimal surrounding context that supports the action without defining a full scene."
action	dessiner	"A person drawing carefully with controlled hand motion, with a minimal surrounding context that supports the action without defining a full scene."
action	voyager	"A person traveling, carrying themselves with purposeful forward movement, with a minimal surrounding context that supports the action without defining a full scene."
action	acheter	"A person buying something, performing an exchange gesture, with a minimal surrounding context that supports the action without defining a full scene."
action	vendre	"A person selling an item, offering it forward with intent, with a minimal surrounding context that supports the action without defining a full scene."
action	recevoir	"A person receiving an item with open hands, with a minimal surrounding context that supports the action without defining a full scene."
action	donner	"A person giving an object forward with an intentional gesture, with a minimal surrounding context that supports the action without defining a full scene."
action	penser	"A person thinking quietly, posture reflective and gaze slightly distant, with a minimal surrounding context that supports the action without defining a full scene."
action	sentir	"A person smelling something gently, bringing it closer with natural hand motion, with a minimal surrounding context that supports the action without defining a full scene."
action	apprendre	"A person learning with attentive posture and cognitive focus, with a minimal surrounding context that supports the action without defining a full scene."
action	expliquer	"A person explaining with expressive hand motion and engaged expression, with a minimal surrounding context that supports the action without defining a full scene."
action	creer	"A person creating something with inventive, deliberate movements, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	belier	"Symbol of Aries represented as a dynamic ram with forward-driven posture, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	taureau	"Symbol of Taurus shown as a strong calm bull with grounded stance, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	gemeaux	"Symbol of Gemini depicted as dual figures expressing mirrored connection, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	cancer	"Symbol of Cancer shown as a stylized crab with curved protective form, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	lion	"Symbol of Leo represented as a proud lion with a raised confident posture, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	vierge	"Symbol of Virgo illustrated as a serene maiden holding an emblem of purity, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	balance	"Symbol of Libra shown as balanced scales in perfect equilibrium, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	scorpion	"Symbol of Scorpio depicted as a poised scorpion with curved tail, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	sagittaire	"Symbol of Sagittarius represented as an archer centaur drawing a bow, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	capricorne	"Symbol of Capricorn shown as a hybrid mountain goat with curved tail, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	verseau	"Symbol of Aquarius depicted as a water-bearer pouring flowing patterns, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	poissons	"Symbol of Pisces illustrated as two fish swimming in opposite directions, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	un_ascendant	"An astrological ascendant represented as a rising directional glyph, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	une_maison	"An astrological house symbol shown as a geometric segmented sector, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	un_zodiaque	"A zodiac wheel depicted as a circular chart holding twelve symbols, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	un_theme	"An astrology chart represented as a structured radial diagram, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	un_aspect	"An astrological aspect shown as clean geometric lines linking planetary points, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	une_conjonction	"An astrological conjunction illustrated as two planetary symbols aligned closely, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	un_trigone	"An astrological trine depicted as a triangular harmonious link, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	un_carre	"An astrological square illustrated as a four-angle tension marker, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	un_sextile	"An astrological sextile shown as a subtle supportive angle marker, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	une_opposition	"An astrological opposition represented as two symbols facing each other across an axis, with a minimal surrounding context that supports the action without defining a full scene."
astrologie	un_retrograde	"A retrograde symbol illustrated as a planetary glyph marked with reversed motion, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	une_planete	"A planet depicted as a spherical celestial body with subtle atmospheric shading, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	une_etoile	"A star illustrated as a radiant point emitting sharp luminous rays, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	un_soleil	"The Sun shown as a glowing sphere with soft radiating corona, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	une_lune	"A moon represented as a cratered luminous sphere, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	une_galaxie	"A galaxy illustrated as a swirling spiral of luminous arms, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	un_telescope	"A telescope depicted as a precise optical instrument angled toward the sky, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	un_astronaute	"An astronaut shown in a space suit floating with controlled posture, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	un_satellite	"A satellite illustrated with solar panels and antenna arrays extended, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	une_orbite	"An orbit depicted as a curved trajectory line around a central body, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	une_comete	"A comet shown with a bright nucleus trailing a luminous tail, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	un_asteroïde	"An asteroid illustrated as an irregular rocky object drifting, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	une_constellation	"A constellation displayed as connected stars forming a symbolic outline, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	un_univers	"The universe depicted as an abstract expanse dotted with cosmic particles, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	vitesse-lumiere	"Light-speed represented as elongated streaks suggesting extreme velocity, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	un_trou_noir	"A black hole shown as a dark core surrounded by warped luminous rings, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	un_quasar	"A quasar illustrated as a brilliant energetic core emitting powerful jets, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	une_nebulosite	"A nebula shown as a diffuse cloud of glowing colors, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	une_meteorite	"A meteorite depicted as a textured fragment with scorched surface, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	un_calendrier_cosmique	"A cosmic calendar illustrated as a spiral timeline of universal events, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	une_eclipse	"An eclipse shown as a darkened disk partially covering a luminous body, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	une_fusee	"A rocket depicted with aerodynamic shape and subtle exhaust trail, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	un_observatoire	"An observatory illustrated as a dome with an open slit pointing upward, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	un_radiotelescope	"A radio telescope shown as a large parabolic dish angled skyward, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	un_cosmos	"The cosmos depicted as a vast abstract field speckled with star clusters, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	mercure	"Mercury shown as a small cratered planet with metallic tones, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	venus	"Venus illustrated as a glowing planet with dense cloud reflections, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	mars	"Mars depicted as a reddish rocky sphere with subtle dust patterns, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	terre	"Earth illustrated as a blue sphere with faint land-sea contrast, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	lune	"The Moon shown as a cratered satellite with soft reflected light, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	jupiter	"Jupiter illustrated as a giant striped planet with a swirling storm, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	saturne	"Saturn shown with elegant rings encircling its soft-toned sphere, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	uranus	"Uranus depicted as a pale tilted planet with subtle banding, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	neptune	"Neptune illustrated as a deep-blue gaseous sphere with faint storms, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	pluton	"Pluto shown as a distant icy dwarf planet with muted textures, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	soleil	"The Sun depicted as a radiant sphere with soft plasma patterns, with a minimal surrounding context that supports the action without defining a full scene."
astronomie	un_geosynchrone	"A geosynchronous object illustrated as a satellite locked in stationary orbit, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	du_bœuf	"Beef represented as a fresh red cut with clean marbling, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	du_veau	"Veal shown as a pale tender slice with smooth texture, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	du_porc	"Pork depicted as a light-pink cut with subtle fat lines, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	de_l_agneau	"Lamb illustrated as a rich pink cut with fine marbling, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	du_cheval	"Horse meat shown as a dark lean cut with firm grain, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	de_la_volaille	"Poultry represented as a clean pale cut with soft texture, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	une_cotelette	"A chop illustrated with curved bone and tender flesh, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	un_faux-filet	"A striploin cut shown with elongated shape and rich marbling, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	une_entrecote	"A rib-eye cut depicted with central marbling ring, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	un_gigot	"A leg roast illustrated with rounded form and trimmed fat layer, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	une_epaule	"A shoulder cut shown with thicker grain and layered fat, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	un_roti	"A roast depicted as a tied cylindrical piece with even texture, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	une_bavette	"A flank cut illustrated as long, fibrous meat with visible grain, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	un_tendron	"A brisket-style cut shown with layered fat and cartilage, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	un_jarret	"A shank depicted with bone center and dense surrounding meat, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	une_escalope	"A thin slice of tender meat illustrated smooth and even, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	une_saucisse	"A sausage shown as a cylindrical meat link with subtle texture, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	une_merguez	"A merguez illustrated as a thin spicy red sausage, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	de_la_chair	"Meat flesh depicted as a generic raw portion with natural texture, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	un_abat	"Offal illustrated as a distinct organ cut with detailed texture, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	des_tripes	"Tripe shown as folded honeycomb textures, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	de_la_viande_hache	"Ground meat depicted as fine loose strands, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	un_couteau	"A butcher knife illustrated with a sharp wide blade, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	un_tranchoir	"A slicing tool shown as a heavy wide blade board set, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	un_billot	"A butcher block depicted as a thick wooden surface, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	un_etabli	"A workbench illustrated as a sturdy flat surface, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	un_tablier	"A butcher apron shown as a protective garment with thick fabric, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	une_chaine	"A hanging chain illustrated as sturdy metal links, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	une_decoupe	"A cut represented as a clean slicing action on meat, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	parer	"A trimming gesture depicted as precise removal of fat or edges, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	ficeler	"A tying action illustrated as wrapping string around a roast, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	une_maturation	"A meat aging process shown as a piece resting with subtle dehydration texture, with a minimal surrounding context that supports the action without defining a full scene."
boucherie	une_vitrine	"A butcher display case illustrated as a clear chilled showcase, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_boulanger	"A baker depicted shaping dough with practiced hands, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_boulangere	"A female baker shown preparing dough with steady motion, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	de_la_farine	"Flour illustrated as a soft white powder forming a small mound, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	de_la_levure	"Yeast depicted as fine granules or small blocks, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	de_l_eau	"Water illustrated as a clear pouring stream, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	du_sel	"Salt shown as fine white crystals gathered in a small pile, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_petrissage	"A kneading action depicted as hands folding dough rhythmically, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_pate	"Dough illustrated as a smooth elastic mass shaped by hand, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_four	"An oven shown as a heated chamber with a simple open door, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_pain	"A loaf of bread depicted as a warm rustic shape, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_baguette	"A baguette shown as a long crisp loaf with golden crust, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_miche	"A round loaf illustrated with thick crust and dense shape, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_crouton	"A crouton depicted as a small crisp cube, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_mie	"The crumb of bread shown as a soft airy interior, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_croute	"A bread crust illustrated as a firm golden outer layer, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_croissant	"A croissant depicted with flaky curved layers, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_chocolatine	"A chocolate-filled pastry shown with folded golden layers, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_pain_au_chocolat	"A chocolate-filled pastry illustrated with rectangular folded shape, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_pain_au_lait	"A milk bun depicted as a soft smooth roll, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_brioche	"A brioche illustrated as a fluffy golden dome, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_viennoiserie	"A pastry item shown with delicate laminated layers, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	du_sucre	"Sugar depicted as fine sparkling grains, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_œuf	"An egg illustrated as a smooth oval shell, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	du_beurre	"Butter shown as a soft yellow block with smooth edges, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	du_gluten	"Gluten represented as an elastic dough strand, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_fermentation	"A fermentation process shown as dough rising with small air bubbles, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_dorure	"An egg-wash glaze illustrated as a shiny coat brushed onto dough, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_couteau	"A bakery knife depicted with a serrated blade, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_tranche	"A bread slice shown as a clean cut piece with visible crumb, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_etage	"A bakery shelf illustrated as a simple horizontal level, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_vitrine	"A bakery display case shown as a clear glass enclosure, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	un_tablier	"A baker’s apron depicted as a soft fabric garment tied at the waist, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_mitre	"A bread-scoring tool illustrated as a small guided blade, with a minimal surrounding context that supports the action without defining a full scene."
boulangerie	une_caisse	"A cash register shown as a compact payment device, with a minimal surrounding context that supports the action without defining a full scene."
